Name                    = Bobby Butcher
Skill                   = 40
Catching                = 76
Glove                   = 80
Blocker                 = 75
Five Hole               = 50
Standing Speed          = 50
Butterfly Speed         = 70
Control                 = 74
Recovery                = 71
Pass Power              = 60
Shot Power              = 50
Poke Check              = 60
Depth                   = 30
Pass Read               = 0.0
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
