# Player Team: Basic
Team Name               = Basic Squad
City                    = Vanilla Town
Abbreviation            = BSC
Body                    = standard
Body Away               = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Helmet                  = team colors
Helmet Away             = team colors
Stick                   = black
Jersey Primary          = 180, 30, 30
Jersey Secondary        = 40, 40, 40
Jersey Accent           = 255, 255, 255
Away Primary            = 255, 255, 255
Away Secondary          = 180, 30, 30
Away Accent             = 255, 255, 255
Helmet Color            = 180, 30, 30
Gloves Color            = 40, 40, 40
Pants Color             = 40, 40, 40
Socks Color             = 180, 30, 30
Bicep Color             = 40, 40, 40
Number Color Home       = 255, 255, 255
Number Color Away       = 180, 30, 30
Team Random Talents     = 0
Team Relics             = Dry Noodle, Lifeless Branch, Bubble Wrap
