Name                    = Angus McDefense
Number                  = 88
Face                    = Faces/Angus_Events/Angus_Chad
Left Handed             = yes
Skin Color              = light
Size                    = Big
Size Offset             = 1.0
Speed                   = 35
Shot Power              = 24
Accuracy                = 48
Checking                = 35
Talents                 = Built Different, Sado Maso, Spiked Armor, Flawless Feeder, Porcelain Hammer
Stick                   = red
Helmet                  = team colors
Helmet Away             = team colors
Body                    = standard
Body Away               = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
