Name                    = Sergei Lancelov
Number                  = 88
Face                    = Faces/Knights/Lancelov_Helmless
Left Handed             = no
Skin Color              = light
Size                    = Big
Size Offset             = 1.0
Speed                   = 24
Shot Power              = 46
Accuracy                = 42
Checking                = 41
Helmet                  = team colors
Helmet Away             = team colors
Body                    = standard
Body Away               = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
