Name                    = Goalie Guy
Skill                   = 100
Catching                = 55
Glove                   = 55
Blocker                 = 55
Five Hole               = 55
Standing Speed          = 55
Butterfly Speed         = 55
Control                 = 55
Recovery                = 55
Pass Power              = 55
Shot Power              = 55
Poke Check              = 55
Depth                   = 55
Pass Read               = 1.0
Helmet Skin             = knights
Skin                    = standard
Skin Away               = standard
Glove Skin              = brown
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
Logo Skin               = Team_Logo/Custom_R
