Name                    = Tim Button
Number                  = 22
Face                    = Mathieu
Left Handed             = random
Skin Color              = dark
Size                    = Medium
Size Offset             = 1.00
Speed                   = 44
Shot Power              = 32
Accuracy                = 26
Checking                = 40
Ability                 = yoyoShot
Glasses                 = Glasses/Round
Stick                   = black
Gloves                  = standard
Pants                   = standard
