Name                    = Gump Pleen
Number                  = 12
Face                    = Onepunch
Left Handed             = no
Skin Color              = random
Size                    = Medium
Speed                   = 53
Shot Power              = 26
Accuracy                = 60
Checking                = 25
Ability                 = Dash LVL2
Talents                 = Butt Bench
Helmet                  = none
Helmet Away             = none
Body                    = standard
Body Away               = standard
Bicep                   = standard
Bicep Away              = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Skates Away             = standard
