Name                    = Jacob Beezly
Number                  = 69
Face                    = Brie
Left Handed             = random
Skin Color              = dark
Size                    = Big
Size Offset             = 1.00
Speed                   = 55
Shot Power              = 32
Accuracy                = 60
Checking                = 27
Random Talents          = 1
Random Pool             = Twig Tax (Level 2), Defensive Deflect
Glasses                 = none
Bicep Away              = crusaders
Gloves                  = standard
Pants                   = standard
