Name                    = Angus McShortstuff
Number                  = 88
Face                    = Faces/Angus_Events/Angus_Speed
Left Handed             = no
Skin Color              = light
Size                    = Small
Size Offset             = 1.0
Speed                   = 52
Shot Power              = 50
Accuracy                = 49
Checking                = 7
Ability                 = enrageAbility
Talents                 = Porcelain Hammer, Spiked Armor, XRay Shot, Trick Shot, Charge Shot
Stick                   = red
Helmet                  = team colors
Helmet Away             = team colors
Body                    = standard
Body Away               = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
