Name                    = Kelly Jelly
Number                  = 88
Face                    = Jelly
Left Handed             = no
Skin Color              = light
Size                    = Small
Size Offset             = 1.0
Speed                   = 59
Shot Power              = 10
Accuracy                = 78
Checking                = 8
Ability                 = spinorama
Stick                   = red
Helmet                  = team colors
Helmet Away             = team colors
Body                    = standard
Body Away               = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
