Name                    = Freddy Kovalski
Number                  = 88
Face                    = Bench_Kovalski
Left Handed             = no
Skin Color              = light
Size                    = Medium
Size Offset             = 1.0339
Speed                   = 55
Shot Power              = 21
Accuracy                = 55
Checking                = 45
Helmet                  = team colors
Helmet Away             = team colors
Body                    = standard
Body Away               = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
