Name                    = Angus McTrois
Number                  = 88
Face                    = Faces/Angus_Events/Angus_Trio
Left Handed             = no
Skin Color              = light
Size                    = Big
Size Offset             = 1.0
Speed                   = 50
Shot Power              = 42
Accuracy                = 45
Checking                = 35
Ability                 = yoyo
Helmet                  = team colors
Helmet Away             = team colors
Body                    = standard
Body Away               = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
