Name                    = Cam Amber
Number                  = 88
Face                    = Amber
Left Handed             = no
Skin Color              = light
Size                    = Medium
Size Offset             = 1.0
Speed                   = 45
Shot Power              = 47
Accuracy                = 51
Checking                = 30
Talents                 = Crit Boost, Human Shield, Lightning Rod, Sado Maso, Onepunch
Helmet                  = team colors
Helmet Away             = team colors
Body                    = standard
Body Away               = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
