Name                    = Zeevi Buimann
Number                  = 4
Face                    = Nasher
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 56
Shot Power              = 44
Accuracy                = 48
Checking                = 35
Talents                 = Blue Line Boost
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 51, 160
Gloves Color            = 4, 28, 44
Helmet Color            = 0, 51, 160
Pants Color             = 4, 28, 44
Skates Color            = 4, 28, 44
