Name                    = Ellias Peterson
Number                  = 40
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 60
Shot Power              = 61
Accuracy                = 67
Checking                = 31
Talents                 = Human Shield, Quick Draw, Flawless Feeder
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 51, 160
Gloves Color            = 4, 28, 44
Helmet Color            = 0, 51, 160
Pants Color             = 4, 28, 44
Skates Color            = 4, 28, 44
