Name                    = Brok Bowser
Number                  = 6
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 49
Shot Power              = 59
Accuracy                = 61
Checking                = 25
Talents                 = Point Sniper
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 51, 160
Gloves Color            = 4, 28, 44
Helmet Color            = 0, 51, 160
Pants Color             = 4, 28, 44
Skates Color            = 4, 28, 44
