Name                    = Teuvi Teravainan
Number                  = 98
Face                    = Angus
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 45
Shot Power              = 45
Accuracy                = 47
Checking                = 30
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 207, 10, 44
Gloves Color            = 0, 0, 0
Helmet Color            = 207, 10, 44
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
