Name                    = Spenser Knightly
Skill                   = 30
Catching                = 32
Glove                   = 33
Blocker                 = 30
Five Hole               = 29
Standing Speed          = 24
Butterfly Speed         = 24
Control                 = 20
Recovery                = 22
Pass Power              = 20
Shot Power              = 18
Poke Check              = 18
Depth                   = 22
Pass Read               = 0.20
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
