Name                    = Tylen Bertuzzy
Number                  = 59
Face                    = Poule
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 42
Shot Power              = 44
Accuracy                = 43
Checking                = 41
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 207, 10, 44
Gloves Color            = 0, 0, 0
Helmet Color            = 207, 10, 44
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
