Name                    = Sethi Jonnes
Number                  = 43
Face                    = Grohl
Left Handed             = no
Skin Color              = light
Size                    = ExtraExtraBig
Speed                   = 44
Shot Power              = 39
Accuracy                = 37
Checking                = 44
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 207, 10, 44
Gloves Color            = 0, 0, 0
Helmet Color            = 207, 10, 44
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
