Name                    = Konnor Bedaard
Number                  = 86
Face                    = Gratz
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 43
Shot Power              = 41
Accuracy                = 44
Checking                = 34
Talents                 = Divine Passes, Ball Chaser (Level 2), Curve Ball (Level 2)
Stick                   = black
Helmet                  = standard
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 207, 10, 44
Helmet Color            = 207, 10, 44
Gloves Color            = 0, 0, 0
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
