Name                    = Artemy Panarinn
Number                  = 9
Face                    = Red_Knight_Helmetless
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 60
Shot Power              = 66
Accuracy                = 65
Checking                = 59
Talents                 = Scrambled
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 56, 168
Gloves Color            = 206, 17, 38
Helmet Color            = 0, 56, 168
Pants Color             = 206, 17, 38
Skates Color            = 206, 17, 38
