Name                    = Igori Shesterken
Skill                   = 36
Catching                = 37
Glove                   = 38
Blocker                 = 35
Five Hole               = 35
Standing Speed          = 28
Butterfly Speed         = 27
Control                 = 36
Recovery                = 37
Pass Power              = 30
Shot Power              = 27
Poke Check              = 29
Depth                   = 32
Pass Read               = 0.35
Goalie Talents          = Goalie Dance
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
