Name                    = K'Andrei Millard
Number                  = 23
Face                    = Bench_Kovalski
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 68
Shot Power              = 63
Accuracy                = 68
Checking                = 43
Talents                 = Power Transfer, ImperviousOnPass
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 56, 168
Gloves Color            = 206, 17, 38
Helmet Color            = 0, 56, 168
Pants Color             = 206, 17, 38
Skates Color            = 206, 17, 38
