Name                    = Alexei Lafrenierre
Number                  = 13
Face                    = Lancelov
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 69
Shot Power              = 65
Accuracy                = 66
Checking                = 52
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 56, 168
Gloves Color            = 206, 17, 38
Helmet Color            = 0, 56, 168
Pants Color             = 206, 17, 38
Skates Color            = 206, 17, 38
