Name                    = Mikka Zibanejid
Number                  = 93
Face                    = Lancelov_Helmless
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 59
Shot Power              = 69
Accuracy                = 68
Checking                = 56
Talents                 = Charge Shot (Level 2)
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 56, 168
Gloves Color            = 206, 17, 38
Helmet Color            = 0, 56, 168
Pants Color             = 206, 17, 38
Skates Color            = 206, 17, 38
