Name                    = Mikkel Backlundt
Number                  = 91
Face                    = Joe
Left Handed             = no
Skin Color              = dark
Size                    = Medium
Speed                   = 72
Shot Power              = 74
Accuracy                = 72
Checking                = 62
Talents                 = Flawless Feeder (Level 2), Supernova Talent
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 200, 16, 46
Gloves Color            = 241, 190, 72
Helmet Color            = 200, 16, 46
Pants Color             = 241, 190, 72
Skates Color            = 241, 190, 72
