Name                    = Dustyn Wolfe
Skill                   = 35
Catching                = 38
Glove                   = 39
Blocker                 = 34
Five Hole               = 33
Standing Speed          = 38
Butterfly Speed         = 37
Control                 = 37
Recovery                = 38
Pass Power              = 31
Shot Power              = 29
Poke Check              = 30
Depth                   = 35
Pass Read               = 0.39
Goalie Talents          = Goalie Enrage Last30Sec
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
