Name                    = MacKenzi Weegard
Number                  = 4
Face                    = Bench_Stumple
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 67
Shot Power              = 67
Accuracy                = 66
Checking                = 64
Talents                 = Point Sniper
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 200, 16, 46
Gloves Color            = 241, 190, 72
Helmet Color            = 200, 16, 46
Pants Color             = 241, 190, 72
Skates Color            = 241, 190, 72
