Name                    = Jonathon Huberdou
Number                  = 10
Face                    = Ma
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 74
Shot Power              = 69
Accuracy                = 78
Checking                = 46
Talents                 = Cherry Picker, Mega Deflect (Level 2), slugger, Redirector
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 200, 16, 46
Gloves Color            = 241, 190, 72
Helmet Color            = 200, 16, 46
Pants Color             = 241, 190, 72
Skates Color            = 241, 190, 72
