Name                    = Nazim Kadrii
Number                  = 76
Face                    = Averell
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 78
Shot Power              = 67
Accuracy                = 66
Checking                = 66
Talents                 = Cherry Picker, Mega Deflect (Level 2), slugger, Redirector
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 200, 16, 46
Gloves Color            = 241, 190, 72
Helmet Color            = 200, 16, 46
Pants Color             = 241, 190, 72
Skates Color            = 241, 190, 72
