Name                    = Joei Daccorde
Skill                   = 39
Catching                = 41
Glove                   = 43
Blocker                 = 39
Five Hole               = 37
Standing Speed          = 39
Butterfly Speed         = 37
Control                 = 40
Recovery                = 43
Pass Power              = 36
Shot Power              = 34
Poke Check              = 34
Depth                   = 40
Pass Read               = 0.50
Goalie Talents          = Goalie Enraged On Shot
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
