Name                    = Willem Nylanderr
Number                  = 88
Face                    = Kilmore
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 82
Shot Power              = 78
Accuracy                = 80
Checking                = 53
Talents                 = Speed Transfer, Curve Ball
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 32, 91
Gloves Color            = 255, 255, 255
Helmet Color            = 0, 32, 91
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
