Name                    = Mattie Benniers
Number                  = 19
Face                    = Haggis
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 86
Shot Power              = 90
Accuracy                = 86
Checking                = 60
Talents                 = Point Sniper
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 22, 40
Gloves Color            = 153, 217, 217
Helmet Color            = 0, 22, 40
Pants Color             = 153, 217, 217
Skates Color            = 153, 217, 217
