Name                    = Vinne Dunne
Number                  = 29
Face                    = Bench_Bench
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 86
Shot Power              = 80
Accuracy                = 80
Checking                = 69
Talents                 = En Garde!
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 22, 40
Gloves Color            = 153, 217, 217
Helmet Color            = 0, 22, 40
Pants Color             = 153, 217, 217
Skates Color            = 153, 217, 217
