Name                    = Jarred McCanne
Number                  = 10
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 90
Shot Power              = 80
Accuracy                = 84
Checking                = 60
Talents                 = Flawless Feeder
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 22, 40
Gloves Color            = 153, 217, 217
Helmet Color            = 0, 22, 40
Pants Color             = 153, 217, 217
Skates Color            = 153, 217, 217
