Name                    = Josef Wolle
Skill                   = 39
Catching                = 40
Glove                   = 42
Blocker                 = 38
Five Hole               = 38
Standing Speed          = 35
Butterfly Speed         = 34
Control                 = 39
Recovery                = 40
Pass Power              = 33
Shot Power              = 31
Poke Check              = 31
Depth                   = 36
Pass Read               = 0.37
Goalie Talents          = Goalie Assist
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
