Name                    = Morgann Rielley
Number                  = 44
Face                    = Dord
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 77
Shot Power              = 73
Accuracy                = 73
Checking                = 61
Talents                 = Blue Line Boost
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 32, 91
Gloves Color            = 255, 255, 255
Helmet Color            = 0, 32, 91
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
