Name                    = Austen Mattingly
Number                  = 23
Face                    = Jelly
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 68
Shot Power              = 77
Accuracy                = 77
Checking                = 71
Talents                 = Enraged
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 32, 91
Gloves Color            = 255, 255, 255
Helmet Color            = 0, 32, 91
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
