Name                    = Johan Tavaress
Number                  = 22
Face                    = Popping
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 70
Shot Power              = 68
Accuracy                = 68
Checking                = 70
Talents                 = Spiked Armor
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 32, 91
Gloves Color            = 255, 255, 255
Helmet Color            = 0, 32, 91
Pants Color             = 255, 255, 255
Skates Color            = 255, 255, 255
