Name                    = Matthias Tkachek
Number                  = 16
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 90
Shot Power              = 93
Accuracy                = 97
Checking                = 99
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 200, 16, 46
Helmet Color            = 4, 30, 66
Pants Color             = 200, 16, 46
Skates Color            = 200, 16, 46
