Name                    = Sergej Bobrovskiy
Skill                   = 39
Catching                = 41
Glove                   = 43
Blocker                 = 39
Five Hole               = 37
Standing Speed          = 54
Butterfly Speed         = 50
Control                 = 41
Recovery                = 41
Pass Power              = 33
Shot Power              = 31
Poke Check              = 29
Depth                   = 39
Pass Read               = 0.34
Goalie Talents          = Always Catch Pucks
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
