Name                    = Aaren Ekblaad
Number                  = 42
Face                    = Bench_Bench
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 86
Shot Power              = 71
Accuracy                = 77
Checking                = 65
Talents                 =
Ability                 = throwingStick
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 200, 16, 46
Helmet Color            = 4, 30, 66
Pants Color             = 200, 16, 46
Skates Color            = 200, 16, 46
