Name                    = Aleksandr Barkovv
Number                  = 9
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 87
Shot Power              = 99
Accuracy                = 90
Checking                = 97
Talents                 = Pressure Cooker
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 200, 16, 46
Helmet Color            = 4, 30, 66
Pants Color             = 200, 16, 46
Skates Color            = 200, 16, 46
