Name                    = Samuel Reinhardt
Number                  = 13
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 86
Shot Power              = 94
Accuracy                = 101
Checking                = 47
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 200, 16, 46
Helmet Color            = 4, 30, 66
Pants Color             = 200, 16, 46
Skates Color            = 200, 16, 46
