Name                    = Nikolai Ehlerss
Number                  = 27
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 115
Shot Power              = 95
Accuracy                = 99
Checking                = 51
Talents                 = Built Different, Trick Shot (Level 2)
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 0, 76, 151
Helmet Color            = 4, 30, 66
Pants Color             = 0, 76, 151
Skates Color            = 0, 76, 151
