Name                    = Konnor Hellebuyke
Skill                   = 45
Catching                = 46
Glove                   = 47
Blocker                 = 43
Five Hole               = 42
Standing Speed          = 41
Butterfly Speed         = 39
Control                 = 45
Recovery                = 46
Pass Power              = 38
Shot Power              = 35
Poke Check              = 37
Depth                   = 41
Pass Read               = 0.53
Goalie Talents          = Always Catch Pucks, Goalie Headshot, Goalie Throw Stick, Goalie Enraged On Shot
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
