Name                    = Joshy Morrissee
Number                  = 44
Face                    = Spark
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 95
Shot Power              = 92
Accuracy                = 90
Checking                = 80
Talents                 = Heavy Helmet, Armor, knightAI
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 0, 76, 151
Helmet Color            = 4, 30, 66
Pants Color             = 0, 76, 151
Skates Color            = 0, 76, 151
