Name                    = Neale Piionk
Number                  = 4
Face                    = cage
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 92
Shot Power              = 87
Accuracy                = 87
Checking                = 80
Talents                 = Built Different, Defensive Deflect (Level 2)
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 0, 76, 151
Helmet Color            = 4, 30, 66
Pants Color             = 0, 76, 151
Skates Color            = 0, 76, 151
