Name                    = Markk Scheifelle
Number                  = 55
Face                    = Bench_Bench
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 90
Shot Power              = 104
Accuracy                = 99
Checking                = 79
Talents                 = tornadoAI
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 4, 30, 66
Gloves Color            = 0, 76, 151
Helmet Color            = 4, 30, 66
Pants Color             = 0, 76, 151
Skates Color            = 0, 76, 151
