Name                    = Jordyn Binningten
Skill                   = 40
Catching                = 44
Glove                   = 42
Blocker                 = 40
Five Hole               = 38
Standing Speed          = 55
Butterfly Speed         = 50
Control                 = 42
Recovery                = 44
Pass Power              = 46
Shot Power              = 44
Poke Check              = 38
Depth                   = 50
Pass Read               = 0.31
Goalie Talents          = Goalie Pass Propel
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
