Name                    = Colten Paraykow
Number                  = 86
Face                    = cage
Left Handed             = yes
Skin Color              = light
Size                    = ExtraBig
Speed                   = 99
Shot Power              = 92
Accuracy                = 93
Checking                = 92
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 47, 135
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 47, 135
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
