Name                    = Roberrt Thomass
Number                  = 25
Face                    = Bench_Bench
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 131
Shot Power              = 120
Accuracy                = 117
Checking                = 71
Talents                 = princeAI, Charge Shot (Level 2), XRay Shot (Level 2), Sword (Level 2), Deadzone
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 47, 135
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 47, 135
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
