Name                    = Justinn Fawlk
Number                  = 55
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = ExtraExtraBig
Speed                   = 52
Shot Power              = 123
Accuracy                = 106
Checking                = 133
Talents                 = BoneCrusher (Level 2), Defensive Deflect (Level 2)
Ability                 = wet_towel
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 47, 135
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 47, 135
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
