Name                    = Jordann Kyroux
Number                  = 89
Face                    = Haggis
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 88
Shot Power              = 99
Accuracy                = 106
Checking                = 66
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 47, 135
Gloves Color            = 252, 181, 20
Helmet Color            = 0, 47, 135
Pants Color             = 252, 181, 20
Skates Color            = 252, 181, 20
