Name                    = Tomass Hertle
Number                  = 71
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 132
Shot Power              = 126
Accuracy                = 130
Checking                = 76
Talents                 = Blue Line Boost, Curve Ball, Puck Rocket, tornadoAI, slugger
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 109, 117
Gloves Color            = 0, 0, 0
Helmet Color            = 0, 109, 117
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
