Name                    = MacKenzi Blackwoode
Skill                   = 45
Catching                = 49
Glove                   = 47
Blocker                 = 43
Five Hole               = 40
Standing Speed          = 55
Butterfly Speed         = 53
Control                 = 47
Recovery                = 49
Pass Power              = 40
Shot Power              = 36
Poke Check              = 39
Depth                   = 45
Pass Read               = 0.40
Goalie Talents          = Goalie Speed Talent
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
