Name                    = Marius Ferrarro
Number                  = 7
Face                    = Spark
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 94
Shot Power              = 94
Accuracy                = 92
Checking                = 111
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 109, 117
Gloves Color            = 0, 0, 0
Helmet Color            = 0, 109, 117
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
