Name                    = Willem Eklundt
Number                  = 72
Face                    = Bench_Bench
Left Handed             = yes
Skin Color              = light
Size                    = Small
Speed                   = 117
Shot Power              = 100
Accuracy                = 109
Checking                = 59
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 109, 117
Gloves Color            = 0, 0, 0
Helmet Color            = 0, 109, 117
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
