Name                    = Jaake Wallman
Number                  = 38
Face                    = Wiener
Left Handed             = no
Skin Color              = light
Size                    = Big
Speed                   = 103
Shot Power              = 92
Accuracy                = 88
Checking                = 117
Talents                 = Tong (Level 2), magnetInterception, Velcro, knightAI
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 109, 117
Gloves Color            = 0, 0, 0
Helmet Color            = 0, 109, 117
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
