Name                    = Mikkel Granlundt
Number                  = 73
Face                    = Bench_Bench
Left Handed             = no
Skin Color              = light
Size                    = Medium
Speed                   = 103
Shot Power              = 111
Accuracy                = 115
Checking                = 76
Talents                 =
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 0, 109, 117
Gloves Color            = 0, 0, 0
Helmet Color            = 0, 109, 117
Pants Color             = 0, 0, 0
Skates Color            = 0, 0, 0
