Name                    = Ryann O'Reilley
Number                  = 90
Face                    = Wiener
Left Handed             = yes
Skin Color              = light
Size                    = Big
Speed                   = 99
Shot Power              = 111
Accuracy                = 111
Checking                = 108
Talents                 = Tong (Level 2), En Garde!
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 255, 184, 28
Gloves Color            = 4, 30, 66
Helmet Color            = 255, 184, 28
Pants Color             = 4, 30, 66
Skates Color            = 4, 30, 66
