Name                    = Juusei Saross
Skill                   = 52
Catching                = 54
Glove                   = 55
Blocker                 = 51
Five Hole               = 51
Standing Speed          = 41
Butterfly Speed         = 39
Control                 = 52
Recovery                = 54
Pass Power              = 41
Shot Power              = 38
Poke Check              = 41
Depth                   = 44
Pass Read               = 0.63
Goalie Talents          = Always Catch Pucks, Goalie Throw Stick
Helmet Skin             = team colors
Skin                    = standard
Skin Away               = standard
Glove Skin              = standard
Glove Away              = standard
Blocker Skin            = standard
Blocker Away            = standard
Pads Skin               = standard
Pads Away               = standard
Stick Skin              = standard
Stick Away              = standard
