Name                    = Romann Jossi
Number                  = 59
Face                    = Kilmore
Left Handed             = yes
Skin Color              = light
Size                    = Medium
Speed                   = 114
Shot Power              = 113
Accuracy                = 114
Checking                = 96
Talents                 = Homewrecker, Ball Chaser
Stick                   = black
Helmet                  = team colors
Body                    = standard
Bicep                   = standard
Gloves                  = standard
Pants                   = standard
Skates                  = standard
Jersey Color            = 255, 184, 28
Gloves Color            = 4, 30, 66
Helmet Color            = 255, 184, 28
Pants Color             = 4, 30, 66
Skates Color            = 4, 30, 66
